route_id,agency_id,route_short_name,route_long_name,route_type
1213,UT5,224,Pinheiro da Bemposta - S. João da Madeira (CCT),3
1214,UT5,231,O. Azeméis (Escola Soares Basto) - Fajões (via Gândara),3
1215,UT5,226,Vale de Cambra (CCT) - S. João da Madeira (CCT),3
1216,UT5,217,O. Azeméis (Centro) - S. João da Madeira (CCT) (via Cucujães),3
1217,UT5,211,O. Azeméis (Centro) - Estarreja (Estação),3
1218,UT5,229,Vale de Cambra (CCT) - O. Azeméis (Escola Soares Basto) (via Carregosa),3
1219,UT5,230,O. Azeméis (Escola Soares Basto) - Casa-Museu F. Castro,3
1220,UT5,212,O. Azeméis (Centro) - Parque das Camélias (pela A32),3
1221,UT5,221,S. Martinho da Gândara - S. João da Madeira (CCT) (via Felgueira),3
1222,UT5,215,Vale de Cambra (CCT) - S. João da Madeira (CCT) (via Z.I. Lordelo-Codal),3
1223,UT5,209,O. Azeméis (Centro) - Parque das Camélias (via Vale de Cambra pela A32),3
1225,UT5,214,O. Azeméis (Esc. Loureiro) - São Martinho da Gândara,3
1226,UT5,210,O. Azeméis (Escola da Carregosa) - Rossio (Zona Industrial) (via Teamonde),3
1228,UT5,416,O. Azeméis (Escola Loureiro) - São Martinho da Gândara,3
1229,UT5,506,Pinhão - Fajões (Escola),3
1230,UT5,412,Circular | TUAZ Laranja,3
1240,UT5,413,Circular | TUAZ Verde (via Santiago de Riba Ul),3
1241,UT5,438,Circular | TUAZ  Verde (via S.Roque),3
1243,UT5,436,Circular | TUAZ Verde (via Ferreiros),3
1244,UT5,437,Circular | TUAZ Verde (via Ossela),3
1401,UT5,199,Santa Maria da Feira (Escolas) - Duas Igrejas,3
1402,UT5,200,Circular | S. João da Madeira (via Outeiro),3
1403,UT5,471,Circular | S. João da Madeira (via Outeiro),3
1404,UT5,197,Circular | S. João da Madeira (via Pigeiros),3
1405,UT5,472,Circular | S. João da Madeira (via Pigeiros),3
1406,UT5,198,Circular | S. João da Madeira (via Cucujães),3
1407,UT5,473,Circular | S. João da Madeira (via Cucujães),3
1408,UT5,194,S. J. Madeira (CCT) - Carvalhos (Esc. Padre António Luís Moreira),3
1409,UT5,195,S. João da Madeira (CCT) - Santa Maria da Feira (Escolas),3
1410,UT5,193,S. João da Madeira (CCT) - Campanhã (Estação) (pela A32),3
1411,UT5,196,Aveiro (CCT) - S. João da Madeira (CCT) (pela A29),3
1601,UT5,206,Viadal - Vale de Cambra (CCT),3
1602,UT5,203,Carvalhal do Chão - Vale de Cambra (CCT) (via Paraduça),3
1603,UT5,205,Casal Velide - Vale de Cambra (CCT),3
1604,UT5,208,Vale de Cambra (CCT) - Rossio (Zona Industrial),3
1605,UT5,204,Póvoa Junqueira - Vale de Cambra (CCT) (via Cabanes),3
1606,UT5,207,Vale de Cambra (Vila Nova) - Vale de Cambra (CCT) (via Cavião),3
1607,UT5,201,Baralhas - Vale de Cambra (CCT),3
2001,UT5,143,Lázaro - Lourosa/Fiães (Interface) (via Esc. de Escariz),3
